Date,Weekday,Unit,MedicationType,Drug,IsRestockDay,StockLevel,Shortage,Delivered,Returned,DaysSupply,AvgTimeInStorage_days,WorkloadMin,PickAccuracy_pct,ErrorRate_per100,InventoryAdjustment_pct
2026-02-23,Monday,Cardiology,Antibiotics,AMOXICLAV SZ 875/125,Yes,64,No,21,2,3,1.5,57,97.1,1.7,4.5
2026-02-23,Monday,Cardiology,Analgesics,IBUPROFEN EG 600MG,Yes,72,No,21,3,3,1.1,48,95.6,3.6,3.4
2026-02-23,Monday,Cardiology,Cardiovascular,CEDOCARD 10MG,Yes,52,No,51,12,3,3.7,65,96.3,2.5,3.1
2026-02-23,Monday,Cardiology,Anticoagulants,ELIQUIS 5MG,Yes,70,No,60,12,3,3.8,56,95.1,2.6,1.1
2026-02-23,Monday,Cardiology,Diuretics,KALIUM RETARD 600MG,Yes,89,No,55,16,3,1.1,69,95.9,2.6,3.8
2026-02-23,Monday,Cardiology,Antidiabetics,EZETIMIBE EG 10MG,Yes,56,No,20,2,3,2.9,47,96.3,0,7.6
2026-02-23,Monday,Cardiology,Neurology/Psych,XANAX 0.25MG,Yes,68,No,36,4,3,1.0,65,96.9,2.0,5.5
2026-02-23,Monday,Cardiology,Gastro/Digestive,NEXIAM 20MG,Yes,53,No,11,2,3,2.9,71,99.0,1.1,2.6
2026-02-23,Monday,Cardiology,Perfusions/IV,PARACETAMOL BBR 1G,Yes,55,No,32,6,3,3.2,60,99.7,2.7,3.8
2026-02-23,Monday,Surgery,Antibiotics,AMOXICLAV SZ 875/125,Yes,47,No,31,7,3,0.5,68,95.9,1.6,2.3
2026-02-23,Monday,Surgery,Analgesics,IBUPROFEN EG 600MG,Yes,65,No,19,4,3,1.9,75,96.9,0.2,6.7
2026-02-23,Monday,Surgery,Cardiovascular,CORDARONE 150MG,Yes,60,No,24,8,3,3.0,87,100,0.1,2.3
2026-02-23,Monday,Surgery,Anticoagulants,CLEXANE 40MG,Yes,48,No,22,6,3,1.6,92,97.6,2.5,2.4
2026-02-23,Monday,Surgery,Diuretics,LASIX 20MG,Yes,62,No,23,8,3,2.5,73,97.1,0.5,2.7
2026-02-23,Monday,Surgery,Respiratory,ACETYLCYSTEINE EG 600MG,Yes,66,No,13,3,3,0.8,70,99.3,1.2,3.2
2026-02-23,Monday,Surgery,Neurology/Psych,XANAX 0.25MG,Yes,72,No,40,8,3,3.8,80,95.3,2.5,3.9
2026-02-23,Monday,Surgery,Gastro/Digestive,NEXIAM 20MG,Yes,37,No,24,8,3,3.2,75,96.8,2.0,2.1
2026-02-23,Monday,Surgery,Perfusions/IV,NACL 0.9% 250ML,Yes,51,No,42,19,3,2.8,60,98.7,0.7,6.7
2026-02-23,Monday,Orthopaedics,Antibiotics,CEFAZOLINE VI 1G,Yes,73,No,64,9,3,4.2,34,100,2.6,3.8
2026-02-23,Monday,Orthopaedics,Analgesics,TARADYL 10MG,Yes,59,No,67,20,3,4.0,31,96.5,1.1,3.3
2026-02-23,Monday,Orthopaedics,Cardiovascular,CORDARONE 150MG,Yes,66,No,29,9,3,2.6,55,96.4,0.3,3.8
2026-02-23,Monday,Orthopaedics,Anticoagulants,ELIQUIS 5MG,Yes,39,No,34,8,3,1.7,77,96.6,3.0,4.2
2026-02-23,Monday,Orthopaedics,Diuretics,HYGROTON 50MG,Yes,90,No,48,7,3,2.6,41,97.6,2.3,4.4
2026-02-23,Monday,Orthopaedics,Respiratory,ACETYLCYSTEINE EG 600MG,Yes,56,No,21,4,3,3.5,42,100,1.5,4.7
2026-02-23,Monday,Orthopaedics,Neurology/Psych,ZOLPIDEM EG 10MG,Yes,53,Yes,43,9,3,3.6,85,98.7,2.1,2.7
2026-02-23,Monday,Orthopaedics,Gastro/Digestive,NEXIAM 20MG,Yes,100,No,38,10,3,0.9,68,93.7,1.7,3.0
2026-02-23,Monday,Orthopaedics,Perfusions/IV,GLUCOSE 5% 250ML,Yes,73,No,26,4,3,2.3,65,98.4,2.5,3.7
2026-02-23,Monday,Oncology,Antibiotics,CIPROFLOXACINE TV 500,Yes,34,No,28,2,3,0.7,54,99.2,2.0,7.2
2026-02-23,Monday,Oncology,Analgesics,TRADONAL ODIS 50MG,Yes,50,No,26,2,3,3.5,84,99.6,1.1,4.6
2026-02-23,Monday,Oncology,Respiratory,ATROVENT 0.25MG,Yes,65,No,24,2,3,0.5,70,95.2,2.6,5.9
2026-02-23,Monday,Oncology,Antidiabetics,JARDIANCE 10MG,Yes,95,No,41,3,3,1.3,65,100,1.0,5.7
2026-02-23,Monday,Oncology,Gastro/Digestive,MOVICOL SACHET,Yes,90,No,65,6,3,1.2,70,96.3,3.5,3.3
2026-02-23,Monday,Psychiatry,Analgesics,MORPHINE HCL 10MG,Yes,69,No,14,1,7,8.3,35,97.9,2.4,2.1
2026-02-23,Monday,Psychiatry,Cardiovascular,LIPITOR 40MG,Yes,79,No,43,2,7,7.4,35,95.6,1.1,1.1
2026-02-23,Monday,Psychiatry,Diuretics,LASIX 20MG,Yes,81,No,33,3,7,8.3,22,96.2,0,5.3
2026-02-23,Monday,Psychiatry,Respiratory,ACETYLCYSTEINE EG 600MG,Yes,51,No,45,2,7,9.5,32,96.1,2.3,4.7
2026-02-23,Monday,Psychiatry,Antidiabetics,EZETIMIBE EG 10MG,Yes,78,No,34,2,7,8.9,47,96.0,2.2,6.8
2026-02-23,Monday,Psychiatry,Neurology/Psych,XANAX 0.25MG,Yes,54,No,31,1,7,8.8,16,97.8,1.2,5.4
2026-02-23,Monday,Psychiatry,Gastro/Digestive,MOVICOL SACHET,Yes,76,No,78,3,7,7.6,49,100,2.0,3.7
2026-02-23,Monday,Psychiatry,Perfusions/IV,PARACETAMOL BBR 1G,Yes,69,No,25,1,7,10.1,41,96.0,1.8,3.1
2026-02-23,Monday,Neurology,Antibiotics,AMOXICLAV SZ 875/125,Yes,63,No,31,6,3,2.7,67,98.1,2.2,2.7
2026-02-23,Monday,Neurology,Cardiovascular,ENTRESTO 49MG,Yes,39,No,5,1,3,3.2,61,97.0,0.6,4.5
